cited_by_count,avg_favourites_count,avg_statuses_count,avg_followers_count,author_id
770,322,92,96,1
2,219,34105,401,2
812,529,556,120,3
88,1101,395,155,4
26,2312,540,196,5
19,19461,2557,192,6
39,5377,1593,543,7
3,466,208,742,8
14,5089,864,132,9
1,3195,971,693,10
1,1998,918,943,11
3139,188,217,158,12
13618,85,803,2082,13
53,5821,786,833,14
41,11,168,226,15
171,1697,6469,1001,16
43,16968,3023,3376,17
9101,1827,711,1299,18
40,7118,3866,1848,19
2,5113,2690,746,20
131,1536,455,184,21
1245,748,309,406,22
3738,1496,927,944,23
751,8462,450,1480,24
224,4323,3050,1781,25
941,1967,711,1795,26
136,1142,1522,1135,27
28126,1217,266.3333333333333,318.3333333333333,28
343,132,413,157,29
269,2365.999999999999,1602.9999999999995,86.50000000000001,30
247,2365.999999999999,1602.9999999999995,86.50000000000001,31
11,1440,170,151,32
255,267,181,191.50000000000017,33
1,267,181,191.50000000000017,34
8,3656,1655,832,35
12,3656,1655,832,36
3,3127,539,599,37
5896,132,221,1912,38
1462,1754,374,1212,39
73,697,90,197,40
3331,5548,763,816,41
2190,777,999,251,42
33,3060,1428,618,43
261,996,721,726,44
3314,3087,1286,402,45
84,27438,1075,250,46
14,1083,686,1172,47
15,246,1299,215,48
55,1116,589,241,49
142,399,128,119,50
25,1349,3536,424,51
417,178,130,109,52
1612,3270,670,607,53
92,2968,2254,2616,54
528,3463,194,282,55
226,16154,1186,334,56
86,3245,5955,544,57
149,677,463,991,58
11287,1927,410,491,59
199,194,113,798,60
17,1332,2212,398,61
8592,3406,1402,939,62
4,1699,120,241,63
686,2720,1938,324,64
173,1246,4290,1107,65
113,6877,2442,585,66
48,870,567,291,67
45,7795,1974,945,68
1605,6195,2519,491,69
179,3051,603,1918,70
32,642,2524,157,71
32,4010,1068,870,72
1110,381,1104,399,73
900,915,928,153,74
169,395,218,99,75
725,1829,421,65,76
67,4722,791,873,77
179,981,1080,315,78
735,142,124,203,79
275,757,3765,938,80
40,1663,591,411,81
10,6925,2357,1074,82
15,659,755,445,83
1,659,755,445,84
338,10946,2430,761,85
80,9101,1284,668,86
2579,11,123,161,87
6,759,249,78,88
776,611,2854,349,89
7,611,2854,349,90
572,549,389,262,91
18,11356,6893,903,92
398,1031,5926,944,93
164,1626,2053,244,94
2,9621,3148,433,95
852,498,516,173,96
2138,728,947,459,97
60,943,1135,993,98
318,447,2521,369,99
1246,1859,750,393,100
127,277,345,143,101
318,1117,1663,2341,102
1180,218,89,486,103
10336,3071,867,585,104
150,16933,2138,1631,105
1334,4768,1269,710,106
126,4768,1269,710,107
16,628,458,116,108
5,628,458,116,109
13,146,203,116,110
218,245,203,237,111
278,3327,1640,169,112
7148,52,701,54,113
315,5,47,44,114
417,2180.3333333333294,422.3333333333335,352.3333333333335,115
20,2180.3333333333294,422.3333333333335,352.3333333333335,116
1,2180.3333333333294,422.3333333333335,352.3333333333335,117
310,835,1845,322,118
233,1286,490,981,119
5,2337,3220,735,120
851,109,150,949,121
70,251,238,118,122
866,996,728,383,123
17,926,5927,328,124
145,6439,271,134,125
1931,3798,2863,5005,126
252,2373,1272,198,127
113,2249,2120,109,128
270,3094,1850,5374,129
7,10392,8794,264,130
301,190,131,226,131
480,102,312,132,132
2969,1174,2477,4802,133
28,2363,704,138,134
26,1615,421,1373,135
437,1262,724,211,136
1,1262,724,211,137
171,5878,1606,966,138
72,1035,186,111,139
51,3635,555,418,140
9120,122,297,196,141
101,1766,237,251,142
5047,505,1074,1061,143
1020,410,173,103,144
1251,665,404,635,145
10,313,51,132,146
1769,24205,1917,599,147
1416,37,552,204,148
50,212,386,190,149
562,1636,752,331,150
1,556,862,1220,151
1,5519,1948,375,152
3987,2000,2266,832,153
964,18802,457,1021,154
2729,3169,756,415,155
817,1613,1125,367,156
4745,1217,594,1992,157
389,8491,669,128,158
1496,19667,1892,544,159
104,771,1253,473,160
29,865,2456,1944,161
206,406,520,591,162
71,1009,1834,425,163
7,709,1282,276,164
362,72,46,88,165
370,204,424,182,166
1,10753,1487,214,167
12,2134,2019,1457,168
19,2134,2019,1457,169
6665,74,273,170,170
183,1191,1136,1057,171
13,843,623,557,172
8,12632,2861,11199,173
1227,5263,895,635,174
2,5263,895,635,175
4000,1528,1204,1130,176
389,1232,2003,1054,177
49,585,308,158,178
835,38,1398,3437,179
347,1587,526,51,180
4,1113,1037,487,181
2,1113,1037,487,182
7125,1333,1104,997,183
406,532,337,110,184
7,3519,666,313,185
30,77,1141,82,186
4632,3986,1964,1358,187
510,1356,1270,234,188
587,1356,1270,234,189
5,1356,1270,234,190
355,38,302,164,191
1551,1244,450,560,192
1427,431,244,213,193
220,29,2849,397,194
1346,253,1612,549,195
255,236,1080,240,196
373,2405,608,200,197
94,11603,1043,459,198
16,2979,1896,1671,199
29,209,604,187,200
53,6447,3836,345,201
47,2213,1285,217,202
18446,13,123,373,203
5004,178,1044,963,204
2207,197,627,246,205
108,4949,5689,363,206
2071,616,346,897,207
4952,796,1218,716,208
60,7488,1214,483,209
39,2254,861,680,210
118,429,804,387,211
4353,1678,1572,881,212
1419,299,337,364,213
10683,7094,1670,3377,214
146,2280,1515,789,215
3118,537,717,114,216
912,5881,2592,72,217
4840,87,1589,323,218
18,1804,783,792,219
239,4472,1762,987,220
1,592,8651,375,221
2136,2672,891,555,222
3113,5771,575,1408,223
539,1744,1055,363,224
158,5301,6418,1170,225
28,123,268,486,226
3440,2297,2062,837,227
731,1453,3214,2190,228
13,366,464,243,229
9602,5865.000000000003,761.5000000000003,1595.500000000001,230
3,5865.000000000003,761.5000000000003,1595.500000000001,231
5976,1352,521,832,232
350,1902,180,130,233
483,65,141,35,234
1,5161,349,361,235
737,591,693,1022,236
147,538,645,266,237
471,521,549,419,238
258,95,2331,497,239
2780,10524,569,61,240
113,1638,1298,667,241
17,969,437,197,242
5,957,594,356,243
221,327,254,62,244
434,639,2260,414,245
887,9259,1521,973,246
37,56,182,147,247
743,209,92,106,248
22,209,92,106,249
359,209,92,106,250
3,5949,459,199,251
214,3992,2615,2209,252
1692,965,1577,2089,253
138,631,497,599,254
73,1951,1651,801,255
1292,362,705,309,256
1401,803,976,2798,257
447,314,236,187,258
6,2967,2405,1334,259
95,738,522,317,260
2414,922,41,236,261
563,6906,2128,594,262
81,24,100,10,263
732,105,899,144,264
137,105,899,144,265
90,3800,552,1428,266
396,96,76,34,267
28,3076,999,873,268
2273,20415,1757,757,269
409,37835,3015,2395,270
10,8032,9908,685,271
14,1131,1898,381,272
44,1173,93,149,273
15,1998,1390,2135,274
14,3244,4331.499661016953,1173,275
97,3244,4331.499661016953,1173,276
290,1154,520,272,277
10773,334,505,995,278
469,785,164,483,279
13,142,186,1210.333333333333,280
70,142,186,1210.333333333333,281
9001,4708,2627,2222,282
131,33,154,163,283
258,2073,1701,278,284
185,4052,1436,749,285
3,2657,981,480,286
197,310,518,194,287
1247,1956,259,473,288
44,1519,2084,399,289
10,4141,986,936,290
2264,1475,377,521,291
37152,3418,1354,791,292
2,1682,475,239,293
8179,271,113,374,294
1120,3908,1276,1325,295
53,940,644,506,296
29237,289,2918,788,297
2448,102,3210,425,298
4006,454,1395,183,299
751,3624,4302,190,300
8793,2091,463,509,301
5382,1257,421,240,302
7,2730,1241,312,303
104,1837,569,469,304
2,1837,569,469,305
114,6167,2036,325,306
1288,276,416,218,307
