author_id,year_x_month,topic,pro,anti,neutral,net_stance
A1000824558,2018_2,stance_tax_policy,0,0,1,0
A100149472,2020_6,stance_tax_policy,0,0,1,0
A100157334,2020_3,stance_tax_policy,0,1,0,-1
A100157334,2021_11,stance_tax_policy,1,0,0,1
A100157334,2022_9,stance_tax_policy,0,0,1,0
A1002306758,2020_10,stance_tax_policy,0,0,1,0
A1002306758,2021_9,stance_tax_policy,0,0,1,0
A1002306758,2022_9,stance_tax_policy,0,0,1,0
A1002306758,2023_1,stance_tax_policy,0,0,1,0
A1003407339,2016_11,stance_tax_policy,0,0,1,0
A1003407339,2017_8,stance_tax_policy,0,0,1,0
A1003407339,2022_10,stance_tax_policy,0,0,1,0
A100397646,2017_6,stance_tax_policy,1,0,0,1
A1004671670,2021_11,stance_tax_policy,1,0,0,1
A100621219,2023_1,stance_tax_policy,0,0,1,0
A1006405776,2020_4,stance_tax_policy,0,0,1,0
A1006405776,2021_4,stance_tax_policy,0,0,1,0
A100681721,2022_5,stance_tax_policy,1,0,0,1
A1007115422,2022_10,stance_tax_policy,1,0,0,1
A1007115422,2023_1,stance_tax_policy,0,0,1,0
A100837053,2019_4,stance_tax_policy,0,0,1,0
A100869718,2017_5,stance_tax_policy,0,0,1,0
A1009031955,2020_11,stance_tax_policy,0,0,1,0
A100906785,2020_11,stance_tax_policy,0,0,1,0
A100906785,2022_9,stance_tax_policy,1,0,0,1
A100906785,2023_1,stance_tax_policy,0,1,0,-1
A100962695,2022_12,stance_tax_policy,0,0,1,0
A101111142,2020_8,stance_tax_policy,0,0,1,0
A101111142,2021_10,stance_tax_policy,0,0,1,0
A101111142,2022_3,stance_tax_policy,0,0,1,0
A1011913330,2021_6,stance_tax_policy,0,0,1,0
A1012783444,2016_4,stance_tax_policy,1,0,0,1
A1013240388,2016_9,stance_tax_policy,0,1,0,-1
A1013240388,2017_11,stance_tax_policy,0,0,1,0
A1013989230,2018_2,stance_tax_policy,0,0,1,0
A1013989230,2019_1,stance_tax_policy,0,0,1,0
A1013989230,2019_9,stance_tax_policy,0,0,1,0
A1013989230,2022_5,stance_tax_policy,0,0,1,0
A1015463353,2018_9,stance_tax_policy,0,0,1,0
A101769715,2020_8,stance_tax_policy,0,0,1,0
A1017916753,2019_2,stance_tax_policy,0,1,0,-1
A1017916753,2022_2,stance_tax_policy,1,0,0,1
A1017982339,2022_1,stance_tax_policy,1,0,0,1
A101886195,2017_11,stance_tax_policy,0,1,0,-1
A101886195,2018_12,stance_tax_policy,0,0,1,0
A101899489,2017_12,stance_tax_policy,0,0,1,0
A101945366,2020_2,stance_tax_policy,0,0,1,0
A101945366,2021_5,stance_tax_policy,0,0,1,0
A101945366,2022_1,stance_tax_policy,0,0,1,0
A1020640467,2017_11,stance_tax_policy,1,0,2,0.3333333333333333
A1022665111,2019_9,stance_tax_policy,0,0,1,0
A1022665111,2022_8,stance_tax_policy,1,0,0,1
A102302831,2019_10,stance_tax_policy,0,0,1,0
A102370530,2018_6,stance_tax_policy,0,0,1,0
A102370530,2022_1,stance_tax_policy,0,0,1,0
A102457925,2018_1,stance_tax_policy,0,0,1,0
A102457925,2018_9,stance_tax_policy,0,0,1,0
A102457925,2019_5,stance_tax_policy,0,0,1,0
A102457925,2020_3,stance_tax_policy,0,0,1,0
A102457925,2020_4,stance_tax_policy,0,0,1,0
A102457925,2020_7,stance_tax_policy,0,0,1,0
A102457925,2021_3,stance_tax_policy,0,0,1,0
A102457925,2022_8,stance_tax_policy,0,0,1,0
A1024789146,2019_10,stance_tax_policy,0,0,1,0
A102735004,2018_6,stance_tax_policy,0,0,1,0
A1027397614,2020_7,stance_tax_policy,0,0,1,0
A1027397614,2021_7,stance_tax_policy,1,0,0,1
A1027397614,2022_10,stance_tax_policy,0,1,0,-1
A102746362,2017_12,stance_tax_policy,0,1,0,-1
A1028618693,2020_4,stance_tax_policy,1,0,0,1
A1028618693,2021_8,stance_tax_policy,0,0,1,0
A1028766140,2020_12,stance_tax_policy,1,0,0,1
A1029553471,2020_11,stance_tax_policy,0,0,1,0
A1029553471,2021_6,stance_tax_policy,0,0,1,0
A102968899,2017_11,stance_tax_policy,0,0,1,0
A1031812564,2022_2,stance_tax_policy,0,0,1,0
A10321999,2023_1,stance_tax_policy,0,1,0,-1
A103364598,2019_5,stance_tax_policy,0,0,1,0
A103364598,2020_5,stance_tax_policy,0,0,1,0
A103364598,2022_8,stance_tax_policy,1,0,0,1
A103411775,2021_2,stance_tax_policy,0,1,0,-1
A103431525,2019_3,stance_tax_policy,0,0,1,0
A103431525,2021_5,stance_tax_policy,0,0,1,0
A103431525,2021_6,stance_tax_policy,1,0,0,1
A103451759,2022_4,stance_tax_policy,1,0,0,1
A103462034,2019_10,stance_tax_policy,0,0,1,0
A103504413,2022_10,stance_tax_policy,1,0,0,1
